sector,hh_size,hh_usual_cons_exp_mnth,household_quintile
Rural,2,6000,1
Rural,3,14000,4
Rural,2,3500,1
Rural,5,13500,4
Rural,4,9000,2
Rural,6,18000,5
Rural,3,9000,2
Rural,3,8000,2
Rural,4,14000,4
Rural,4,6800,1
Rural,7,12000,3
Rural,8,18000,5
Rural,6,7000,1
Rural,2,14000,4
Rural,2,4500,1
Rural,1,7500,2
Rural,4,12000,3
Rural,7,16000,4
Rural,6,4500,1
Rural,3,7000,2
Rural,4,11000,3
Rural,5,9000,2
Rural,4,6500,1
Rural,3,24590,5
Rural,3,13500,4
Rural,6,22000,5
Rural,8,7000,1
Rural,4,12000,3
Rural,4,10000,3
Rural,5,11300,3
Rural,4,18000,5
Rural,6,16000,4
Rural,4,8500,2
Rural,3,9500,2
Rural,2,10000,3
Rural,7,13000,4
Rural,5,14000,4
Rural,4,5000,1
Rural,5,18000,5
Rural,5,12000,3
Rural,6,6000,1
Rural,6,15100,4
Rural,8,9000,2
Rural,3,26500,5
Rural,7,9000,2
Rural,2,5500,1
Rural,4,8000,2
Rural,4,18000,5
Rural,4,6000,1
Rural,5,13000,4
Rural,3,11500,3
Rural,8,8000,2
Rural,1,1500,1
Rural,4,15000,4
Rural,6,11000,3
Rural,3,9000,2
Rural,5,7000,1
Rural,11,12000,3
Rural,3,8000,2
Rural,4,6500,1
Rural,4,5000,1
Rural,2,6750,1
Rural,5,9000,2
Rural,3,6000,1
Rural,1,2800,1
Rural,5,6150,1
Rural,3,9000,2
Rural,13,15300,4
Rural,5,12000,3
Rural,5,20000,5
Rural,4,7000,1
Rural,4,12800,4
Rural,5,12500,3
Rural,4,7500,2
Rural,2,9500,2
Rural,6,10000,3
Rural,2,7800,2
Rural,5,12650,4
Rural,5,9000,2
Rural,5,6300,1
Rural,2,10000,3
Rural,3,7000,2
Rural,2,3500,1
Rural,1,10500,3
Rural,2,10200,3
Rural,8,45000,5
Rural,5,8000,2
Rural,6,8500,2
Rural,10,15000,4
Rural,4,10500,3
Rural,5,6000,1
Rural,1,2500,1
Rural,4,10800,3
Rural,3,9000,2
Rural,2,4200,1
Rural,5,11000,3
Rural,3,8445,2
Rural,3,6000,1
Rural,5,8000,2
Rural,5,9500,2
Rural,6,15000,4
Rural,5,10000,3
Rural,5,10000,3
Rural,2,8000,2
Rural,7,16000,4
Rural,7,10000,3
Rural,5,11500,3
Rural,4,10000,3
Rural,4,12000,3
Rural,5,16000,4
Rural,3,14600,4
Rural,2,3550,1
Rural,3,10400,3
Rural,6,14000,4
Rural,6,9500,2
Rural,2,2200,1
Rural,4,8000,2
Rural,5,9500,2
Rural,2,6500,1
Rural,4,11000,3
Rural,4,8500,2
Rural,2,10498,3
Rural,4,8000,2
Rural,5,5000,1
Rural,4,11000,3
Rural,3,5700,1
Rural,5,13000,4
Rural,4,12500,4
Rural,8,16000,4
Rural,3,20000,5
Rural,8,7000,2
Rural,5,11500,3
Rural,2,3000,1
Rural,2,6500,1
Rural,4,10000,3
Rural,4,6000,1
Rural,6,8000,2
Rural,5,15000,4
Rural,4,4000,1
Rural,4,15000,4
Rural,3,15000,4
Rural,5,7000,1
Rural,3,17000,5
Rural,4,5500,1
Rural,5,7000,2
Rural,5,12000,3
Rural,6,6500,1
Rural,6,12000,3
Rural,5,13000,4
Rural,2,6000,1
Rural,5,17600,5
Rural,5,8000,2
Rural,2,28000,5
Rural,8,12000,3
Rural,2,8000,2
Rural,6,7000,1
Rural,6,13800,4
Rural,3,9000,2
Rural,3,8800,2
Rural,4,8000,2
Rural,9,19500,5
Rural,6,9000,2
Rural,5,30000,5
Rural,3,6000,1
Rural,2,5500,1
Rural,3,7500,2
Rural,5,18289,5
Rural,4,3500,1
Rural,3,8000,2
Rural,2,4200,1
Rural,5,14000,4
Rural,1,3500,1
Rural,3,10000,3
Rural,3,15000,4
Rural,3,6000,1
Rural,6,11000,3
Rural,6,3050,1
Rural,3,10000,3
Rural,6,10000,3
Rural,2,11000,3
Rural,6,18000,5
Rural,8,12000,3
Rural,1,3500,1
Rural,9,37500,5
Rural,6,8500,2
Rural,1,4000,1
Rural,4,4900,1
Rural,8,28000,5
Rural,4,13000,4
Rural,6,11000,3
Rural,4,9800,3
Rural,6,15000,4
Rural,7,17500,5
Rural,1,2500,1
Rural,6,16000,4
Rural,6,20000,5
Rural,4,10000,3
Rural,4,7500,2
Rural,5,18000,5
Rural,4,9500,2
Rural,6,19500,5
Rural,4,5800,1
Rural,4,6600,1
Rural,4,13800,4
Rural,5,12000,3
Rural,6,9000,2
Rural,6,14000,4
Rural,4,9400,2
Rural,5,11000,3
Rural,4,18000,5
Rural,4,7500,2
Rural,7,12000,3
Rural,7,15000,4
Rural,3,8700,2
Rural,5,9400,2
Rural,4,24000,5
Rural,4,7500,2
Rural,5,5000,1
Rural,2,13500,4
Rural,1,4500,1
Rural,6,6000,1
Rural,2,4500,1
Rural,6,3500,1
Rural,3,10000,3
Rural,5,10000,3
Rural,7,7100,2
Rural,7,20000,5
Rural,4,10000,3
Rural,4,16000,4
Rural,3,13200,4
Rural,3,7800,2
Rural,6,11000,3
Rural,4,12000,3
Rural,9,12500,3
Rural,2,5000,1
Rural,6,12000,3
Rural,3,9000,2
Rural,2,8000,2
Rural,5,6500,1
Rural,3,10400,3
Rural,4,18000,5
Rural,2,10000,3
Rural,5,17000,5
Rural,1,4000,1
Rural,5,13600,4
Rural,5,8200,2
Rural,4,19000,5
Rural,6,7500,2
Rural,2,4500,1
Rural,6,11000,3
Rural,7,10000,3
Rural,5,9000,2
Rural,4,9000,2
Rural,11,16000,4
Rural,5,11800,3
Rural,4,16500,4
Rural,6,15000,4
Rural,6,4500,1
Rural,9,16000,4
Rural,6,12000,3
Rural,4,5500,1
Rural,2,25000,5
Rural,5,8000,2
Rural,7,17000,5
Rural,10,15500,4
Rural,3,11000,3
Rural,3,20000,5
Rural,3,9800,3
Rural,6,4500,1
Rural,7,13000,4
Rural,5,10000,3
Rural,1,2750,1
Rural,4,8000,2
Rural,1,2500,1
Rural,6,8000,2
Rural,3,6500,1
Rural,7,17500,5
Rural,5,10900,3
Rural,7,13000,4
Rural,5,5000,1
Rural,4,15400,4
Rural,5,14000,4
Rural,6,10500,3
Rural,4,13000,4
Rural,2,13000,4
Rural,3,9000,2
Rural,5,8200,2
Rural,5,12000,3
Rural,3,8500,2
Rural,3,10000,3
Rural,11,16000,4
Rural,6,21000,5
Rural,7,6000,1
Rural,5,12000,3
Rural,2,5000,1
Rural,1,2500,1
Rural,7,14000,4
Rural,1,1250,1
Rural,7,11400,3
Rural,5,13500,4
Rural,5,12000,3
Rural,1,2200,1
Rural,1,1000,1
Rural,6,16500,4
Rural,4,6000,1
Rural,7,15000,4
Rural,3,10000,3
Rural,10,12500,3
Rural,3,5000,1
Rural,5,10000,3
Rural,4,9000,2
Rural,5,16500,4
Rural,7,9000,2
Rural,4,8500,2
Rural,4,9000,2
Rural,2,7000,2
Rural,7,15000,4
Rural,5,7000,1
Rural,6,20500,5
Rural,4,17000,5
Rural,6,12500,3
Rural,4,10000,3
Rural,9,24000,5
Rural,5,13350,4
Rural,6,10500,3
Rural,2,2500,1
Rural,5,8500,2
Rural,4,7000,2
Rural,7,12000,3
Rural,6,11000,3
Rural,5,9000,2
Rural,2,5000,1
Rural,4,8000,2
Rural,1,750,1
Rural,4,8000,2
Rural,5,12000,3
Rural,4,9000,2
Rural,3,10000,3
Rural,6,20000,5
Rural,3,4000,1
Rural,4,11200,3
Rural,5,11800,3
Rural,4,20515,5
Rural,4,4150,1
Rural,4,10500,3
Rural,3,8000,2
Rural,3,9500,2
Rural,4,6000,1
Rural,4,22000,5
Rural,4,8000,2
Rural,6,17000,5
Rural,8,15000,4
Rural,6,10000,3
Rural,2,12000,3
Rural,5,15000,4
Rural,2,4000,1
Rural,5,8000,2
Rural,1,1500,1
Rural,5,12000,3
Rural,7,30000,5
Rural,4,11000,3
Rural,5,15000,4
Rural,12,23000,5
Rural,3,8000,2
Rural,4,10200,3
Rural,3,4500,1
Rural,7,8000,2
Rural,4,18000,5
Rural,7,18000,5
Rural,3,9000,2
Rural,3,15000,4
Rural,5,8674,2
Rural,2,10000,3
Rural,5,11300,3
Rural,2,9500,2
Rural,2,13500,4
Rural,4,4400,1
Rural,7,12000,3
Rural,2,8000,2
Rural,4,19000,5
Rural,1,2850,1
Rural,4,16000,4
Rural,1,1500,1
Rural,4,14000,4
Rural,4,13000,4
Rural,2,5000,1
Rural,8,15000,4
Rural,6,15000,4
Rural,5,23000,5
Rural,3,9500,2
Rural,4,10000,3
Rural,4,8000,2
Rural,2,4000,1
Rural,3,8900,2
Rural,6,11000,3
Rural,2,4000,1
Rural,4,18000,5
Rural,4,13300,4
Rural,3,22000,5
Rural,4,9710,3
Rural,3,18000,5
Rural,2,5000,1
Rural,4,11000,3
Rural,1,5000,1
Rural,4,10000,3
Rural,4,12000,3
Rural,4,27000,5
Rural,3,15800,4
Rural,3,6000,1
Rural,4,20500,5
Rural,5,16000,4
Rural,1,9000,2
Rural,4,10000,3
Rural,2,8100,2
Rural,4,6800,1
Rural,10,17000,5
Rural,4,10000,3
Rural,5,4000,1
Rural,5,13000,4
Rural,6,12000,3
Rural,6,18000,5
Rural,6,12800,4
Rural,5,8000,2
Rural,2,8500,2
Rural,3,7000,2
Rural,4,5000,1
Rural,6,15000,4
Rural,7,12000,3
Rural,3,15000,4
Rural,4,20000,5
Rural,6,10500,3
Rural,2,17000,5
Rural,1,3500,1
Rural,10,16000,4
Rural,5,10000,3
Rural,6,18000,5
Rural,3,14650,4
Rural,3,17000,5
Rural,6,10000,3
Rural,3,6000,1
Rural,3,9500,2
Rural,5,15000,4
Rural,3,9500,2
Rural,3,2000,1
Rural,6,12000,3
Rural,6,20000,5
Rural,2,3500,1
Rural,7,8000,2
Rural,4,8000,2
Rural,6,14850,4
Rural,2,5000,1
Rural,5,9000,2
Rural,4,6500,1
Rural,5,13000,4
Rural,4,10000,3
Rural,2,28000,5
Rural,4,10050,3
Rural,4,10500,3
Rural,10,23000,5
Rural,3,6000,1
Rural,10,16000,4
Rural,4,4000,1
Rural,5,10500,3
Rural,3,8000,2
Rural,6,7400,2
Rural,2,8000,2
Rural,5,11000,3
Rural,6,14000,4
Rural,5,9500,2
Rural,4,12000,3
Rural,4,12500,4
Rural,5,18500,5
Rural,4,9500,2
Rural,3,5000,1
Rural,3,10000,3
Rural,4,12000,3
Rural,3,6500,1
Rural,5,5000,1
Rural,7,12000,3
Rural,5,7000,2
Rural,5,17500,5
Rural,4,6000,1
Rural,2,6000,1
Rural,4,11000,3
Rural,1,9500,2
Rural,1,2500,1
Rural,6,18000,5
Rural,2,8000,2
Rural,7,17600,5
Rural,5,12500,3
Rural,1,5500,1
Rural,5,16000,4
Rural,3,15600,4
Rural,9,12400,3
Rural,4,9500,2
Rural,6,9000,2
Rural,6,12000,3
Rural,4,6500,1
Rural,3,15000,4
Rural,8,12000,3
Rural,1,7000,2
Rural,2,13000,4
Rural,2,4200,1
Rural,5,15000,4
Rural,2,8000,2
Rural,6,12000,3
Rural,4,14000,4
Rural,3,10000,3
Rural,12,5000,1
Rural,6,7000,2
Rural,5,8500,2
Rural,4,16000,4
Rural,4,10000,3
Rural,7,6000,1
Rural,1,1500,1
Rural,4,18000,5
Rural,4,10000,3
Rural,3,14500,4
Rural,5,12000,3
Rural,2,6000,1
Rural,5,8000,2
Rural,5,22500,5
Rural,5,7800,2
Rural,5,16300,4
Rural,7,20000,5
Rural,2,7000,1
Rural,5,9000,2
Rural,3,10000,3
Rural,6,10000,3
Rural,7,10500,3
Rural,4,16000,4
Rural,5,15000,4
Rural,5,13400,4
Rural,5,15500,4
Rural,6,16500,4
Rural,6,10500,3
Rural,8,12000,3
Rural,5,7500,2
Rural,3,8000,2
Rural,5,5600,1
Rural,4,9000,2
Rural,4,8000,2
Rural,3,2000,1
Rural,3,9000,2
Rural,1,4500,1
Rural,5,19700,5
Rural,6,35000,5
Rural,3,10430,3
Rural,6,12650,4
Rural,2,5500,1
Rural,4,12000,3
Rural,5,10000,3
Rural,4,14000,4
Rural,10,36000,5
Rural,7,18000,5
Rural,4,4000,1
Rural,5,14000,4
Rural,1,2150,1
Rural,2,10500,3
Rural,5,17000,5
Rural,3,18000,5
Rural,3,9000,2
Rural,5,10000,3
Rural,1,1000,1
Rural,6,12000,3
Rural,3,13200,4
Rural,1,6000,1
Rural,3,7550,2
Rural,6,13000,4
Rural,10,12000,3
Rural,4,8000,2
Rural,5,11800,3
Rural,3,8960,2
Rural,4,16500,4
Rural,3,6800,1
Rural,5,7000,2
Rural,5,7900,2
Rural,4,11800,3
Rural,5,8400,2
Rural,5,8000,2
Rural,5,17000,5
Rural,1,6000,1
Rural,4,7000,2
Rural,4,11000,3
Rural,4,10000,3
Rural,3,7700,2
Rural,6,13000,4
Rural,7,12000,3
Rural,4,9000,2
Rural,4,9000,2
Rural,6,13500,4
Rural,4,13000,4
Rural,9,13000,4
Rural,3,26500,5
Rural,5,8500,2
Rural,2,5500,1
Rural,2,10500,3
Rural,1,5000,1
Rural,2,4500,1
Rural,5,10000,3
Rural,3,6000,1
Rural,3,12000,3
Rural,5,14500,4
Rural,1,1800,1
Rural,3,8500,2
Rural,4,14200,4
Rural,4,12000,3
Rural,4,10000,3
Rural,3,10950,3
Rural,3,12000,3
Rural,5,30000,5
Rural,5,9000,2
Rural,3,19450,5
Rural,6,11500,3
Rural,7,11000,3
Rural,5,10000,3
Rural,8,8000,2
Rural,6,12000,3
Rural,3,8800,2
Rural,6,8000,2
Rural,4,14000,4
Rural,3,14000,4
Rural,3,8500,2
Rural,5,12000,3
Rural,4,18000,5
Rural,8,9000,2
Rural,7,11000,3
Rural,1,2780,1
Rural,1,2000,1
Rural,2,4000,1
Rural,5,7000,1
Rural,3,18000,5
Rural,2,7000,2
Rural,1,5300,1
Rural,6,8000,2
Rural,4,10750,3
Rural,4,23140,5
Rural,5,16000,4
Rural,6,15000,4
Rural,4,4000,1
Rural,6,8600,2
Rural,6,18000,5
Rural,2,6000,1
Rural,6,8000,2
Rural,5,5400,1
Rural,4,20000,5
Rural,2,6000,1
Rural,5,6000,1
Rural,4,5500,1
Rural,13,27000,5
Rural,6,19000,5
Rural,4,16000,4
Rural,4,18000,5
Rural,1,2500,1
Rural,5,6500,1
Rural,4,5000,1
Rural,2,5000,1
Rural,8,9500,2
Rural,5,12000,3
Rural,3,4000,1
Rural,9,22000,5
Rural,3,6000,1
Rural,5,6000,1
Rural,4,8500,2
Rural,4,12000,3
Rural,5,5800,1
Rural,4,9000,2
Rural,8,12000,3
Rural,1,10000,3
Rural,4,10000,3
Rural,6,15000,4
Rural,7,14000,4
Rural,5,12000,3
Rural,4,8000,2
Rural,1,4800,1
Rural,3,13300,4
Rural,8,15000,4
Rural,5,5000,1
Rural,4,15000,4
Rural,5,23500,5
Rural,5,11000,3
Rural,4,12500,3
Rural,4,7000,1
Rural,5,16700,4
Rural,9,14000,4
Rural,2,16850,4
Rural,6,12000,3
Rural,5,8500,2
Rural,4,8500,2
Rural,2,10000,3
Rural,3,11500,3
Rural,5,24500,5
Rural,1,1500,1
Rural,2,16000,4
Rural,4,9500,2
Rural,7,10000,3
Rural,5,10000,3
Rural,7,9400,2
Rural,4,7000,1
Rural,3,6500,1
Rural,3,6400,1
Rural,7,15000,4
Rural,4,7500,2
Rural,4,6200,1
Rural,4,17000,5
Rural,5,16000,4
Rural,4,5500,1
Rural,7,12000,3
Rural,4,5450,1
Rural,6,10000,3
Rural,9,9500,2
Rural,6,13000,4
Rural,9,18000,5
Rural,3,10500,3
Rural,3,8340,2
Rural,6,9500,2
Rural,5,11500,3
Rural,7,16800,4
Rural,5,17500,5
Rural,2,4000,1
Rural,3,9000,2
Rural,4,8900,2
Rural,6,8500,2
Rural,7,12000,3
Rural,6,5000,1
Rural,5,8000,2
Rural,4,12000,3
Rural,5,14000,4
Rural,4,26000,5
Rural,9,22000,5
Rural,3,12400,3
Rural,1,1200,1
Rural,6,12000,3
Rural,3,14000,4
Rural,5,10500,3
Rural,1,1450,1
Rural,4,13000,4
Rural,4,9300,2
Rural,6,8500,2
Rural,6,14000,4
Rural,1,3800,1
Rural,4,8500,2
Rural,5,16000,4
Rural,10,30000,5
Rural,5,15900,4
Rural,2,10000,3
Rural,6,10500,3
Rural,5,11500,3
Rural,5,15000,4
Rural,5,12000,3
Rural,6,6870,1
Rural,6,12000,3
Rural,4,23000,5
Rural,5,6800,1
Rural,6,15000,4
Rural,3,6800,1
Rural,3,14500,4
Rural,1,6500,1
Rural,6,12000,3
Rural,1,5000,1
Rural,5,16000,4
Rural,4,15000,4
Rural,3,7960,2
Rural,4,15000,4
Rural,3,12500,4
Rural,5,11500,3
Rural,4,5800,1
Rural,4,7600,2
Rural,5,18000,5
Rural,6,10000,3
Rural,4,12000,3
Rural,5,15500,4
Rural,6,10000,3
Rural,4,10000,3
Rural,5,15500,4
Rural,6,25000,5
Rural,4,4900,1
Rural,5,6000,1
Rural,5,10000,3
Rural,7,13000,4
Rural,4,15500,4
Rural,3,13500,4
Rural,4,9500,2
Rural,3,8650,2
Rural,3,5000,1
Rural,5,15300,4
Rural,2,12000,3
Rural,5,13000,4
Rural,5,17000,5
Rural,5,16000,4
Rural,4,10000,3
Rural,3,8500,2
Rural,4,23000,5
Rural,6,9000,2
Rural,4,12000,3
Rural,4,12000,3
Rural,6,24800,5
Rural,4,7000,1
Rural,5,6800,1
Rural,5,16500,4
Rural,1,3500,1
Rural,5,7000,2
Rural,2,25500,5
Rural,10,10000,3
Rural,5,8500,2
Rural,6,9800,3
Rural,3,6000,1
Rural,5,20200,5
Rural,4,9500,2
Rural,1,8600,2
Rural,3,9000,2
Rural,3,8300,2
Rural,4,6000,1
Rural,4,7500,2
Rural,6,6500,1
Rural,2,25800,5
Rural,7,6500,1
Rural,3,12500,4
Rural,9,9685,3
Rural,5,8000,2
Rural,4,7500,2
Rural,6,10000,3
Rural,5,15000,4
Rural,4,10000,3
Rural,4,5000,1
Rural,9,14000,4
Rural,5,15000,4
Rural,5,11500,3
Rural,3,7000,2
Rural,1,5000,1
Rural,5,10500,3
Rural,11,12000,3
Rural,5,15000,4
Rural,6,11500,3
Rural,3,8500,2
Rural,5,12000,3
Rural,7,7500,2
Rural,5,7650,2
Rural,6,15500,4
Rural,3,2380,1
Rural,3,9100,2
Rural,5,15000,4
Rural,3,6500,1
Rural,3,9000,2
Rural,5,12500,3
Rural,5,20000,5
Rural,4,12000,3
Rural,3,5000,1
Rural,5,10000,3
Rural,2,2000,1
Rural,6,14000,4
Rural,6,10000,3
Rural,1,2750,1
Rural,5,3000,1
Rural,11,9000,2
Rural,6,4000,1
Rural,6,14000,4
Rural,3,13000,4
Rural,2,3000,1
Rural,5,6500,1
Rural,9,22000,5
Rural,4,8500,2
Rural,2,6500,1
Rural,7,14000,4
Rural,4,6800,1
Rural,2,6000,1
Rural,5,12000,3
Rural,2,5680,1
Rural,3,15000,4
Rural,6,15000,4
Rural,4,13500,4
Rural,2,3000,1
Rural,2,11000,3
Rural,8,20000,5
Rural,5,16000,4
Rural,7,6000,1
Rural,2,9400,2
Rural,3,11500,3
Rural,3,11500,3
Rural,7,4000,1
Rural,4,14000,4
Rural,4,5500,1
Rural,2,5500,1
Rural,5,9200,2
Rural,5,10000,3
Rural,4,10000,3
Rural,10,17000,5
Rural,2,5000,1
Rural,5,10000,3
Rural,2,2700,1
Rural,2,5000,1
Rural,3,15000,4
Rural,3,5500,1
Rural,2,7000,2
Rural,5,7000,2
Rural,5,8000,2
Rural,4,9000,2
Rural,3,6500,1
Rural,3,4000,1
Rural,6,15500,4
Rural,5,12800,4
Rural,8,9500,2
Rural,3,8000,2
Rural,3,12500,3
Rural,4,8000,2
Rural,5,7700,2
Rural,3,7500,2
Rural,3,2800,1
Rural,1,10000,3
Rural,3,5000,1
Rural,4,12600,4
Rural,3,8000,2
Rural,4,10000,3
Rural,3,10000,3
Rural,5,12500,3
Rural,12,12000,3
Rural,3,12000,3
Rural,3,17000,5
Rural,2,4000,1
Rural,2,5500,1
Rural,5,10200,3
Rural,12,12000,3
Rural,4,15000,4
Rural,1,3500,1
Rural,1,7100,2
Rural,6,8000,2
Rural,4,16500,4
Rural,3,4500,1
Rural,4,5500,1
Rural,3,4500,1
Rural,3,10000,3
Rural,4,12000,3
Rural,4,2500,1
Rural,4,20000,5
Rural,3,6400,1
Rural,2,5000,1
Rural,9,9000,2
Rural,7,16000,4
Rural,5,9100,2
Rural,6,8500,2
Rural,6,8500,2
Rural,4,15000,4
Rural,3,10500,3
Rural,6,9500,2
Rural,5,7500,2
Rural,1,3000,1
Rural,1,1500,1
Rural,4,9000,2
Rural,6,7500,2
Rural,4,17500,5
Rural,4,11000,3
Rural,4,8500,2
Rural,4,12500,3
Rural,8,12000,3
Rural,4,6000,1
Rural,4,6500,1
Rural,2,7000,2
Rural,4,20000,5
Rural,2,3500,1
Rural,3,14500,4
Rural,4,18500,5
Rural,4,4450,1
Rural,3,3500,1
Rural,5,13000,4
Rural,5,8500,2
Rural,2,5000,1
Rural,2,5000,1
Rural,2,4300,1
Rural,5,7800,2
Rural,4,8500,2
Rural,4,9000,2
Rural,3,9000,2
Rural,4,15000,4
Rural,4,9000,2
Rural,2,10000,3
Rural,5,7800,2
Rural,4,8000,2
Rural,3,7000,2
Rural,2,7000,1
Rural,6,15000,4
Rural,4,12500,3
Rural,3,12500,4
Rural,1,7000,1
Rural,7,1500,1
Rural,2,4000,1
Rural,4,7250,2
Rural,10,14000,4
Rural,4,8500,2
Rural,5,6000,1
Rural,3,9000,2
Rural,3,12000,3
Rural,2,7000,2
Rural,2,7000,2
Rural,6,7000,2
Rural,6,16800,4
Rural,7,13000,4
Rural,7,12500,3
Rural,5,7580,2
Rural,4,11000,3
Rural,3,7500,2
Rural,4,5000,1
Rural,5,6500,1
Rural,5,4500,1
Rural,6,10000,3
Rural,2,10000,3
Rural,2,2600,1
Rural,5,20000,5
Rural,3,16300,4
Rural,3,5000,1
Rural,4,15000,4
Rural,4,6200,1
Rural,2,5500,1
Rural,4,9900,3
Rural,4,11000,3
Rural,5,13500,4
Rural,4,5500,1
Rural,4,13000,4
Rural,7,12400,3
Rural,4,11000,3
Rural,8,16620,4
Rural,3,12000,3
Rural,5,9500,2
Rural,3,13000,4
Rural,3,20000,5
Rural,6,15000,4
Rural,7,11000,3
Rural,6,6000,1
Rural,6,28500,5
Rural,3,18650,5
Rural,6,5500,1
Rural,4,5000,1
Rural,7,14000,4
Rural,2,5000,1
Rural,6,10500,3
Rural,3,10000,3
Rural,4,7000,1
Rural,5,3500,1
Rural,5,14000,4
Rural,5,7800,2
Rural,4,7500,2
Rural,5,8000,2
Rural,2,3000,1
Rural,5,8000,2
Rural,4,5000,1
Rural,4,10000,3
Rural,4,26000,5
Rural,15,16000,4
Rural,2,14000,4
Rural,7,7120,2
Rural,3,30000,5
Rural,4,8000,2
Rural,4,9500,2
Rural,3,13000,4
Rural,1,3500,1
Rural,6,10000,3
Rural,2,2800,1
Rural,6,8500,2
Rural,6,8500,2
Rural,5,15000,4
Rural,8,13000,4
Rural,7,8000,2
Rural,2,5000,1
Rural,4,10000,3
Rural,5,17000,5
Rural,8,12600,4
Rural,6,12000,3
Rural,4,9400,2
Rural,6,16500,4
Rural,8,9500,2
Rural,4,9600,3
Rural,3,14000,4
Rural,5,8500,2
Rural,4,10000,3
Rural,2,11000,3
Rural,2,7000,1
Rural,2,2000,1
Rural,4,5000,1
Rural,6,18000,5
Rural,4,18700,5
Rural,5,12800,4
Rural,5,17000,5
Rural,6,9500,2
Rural,3,12000,3
Rural,5,14000,4
Rural,4,7000,2
Rural,6,10000,3
Rural,3,4500,1
Rural,3,5500,1
Rural,7,2500,1
Rural,4,3200,1
Rural,4,7200,2
Rural,4,7000,2
Rural,1,1000,1
Rural,2,4000,1
Rural,5,7000,2
Rural,3,5000,1
Rural,3,6000,1
Rural,3,18000,5
Rural,6,6000,1
Rural,5,9500,2
Rural,8,6500,1
Rural,3,10000,3
Rural,6,8000,2
Rural,4,7500,2
Rural,2,7000,2
Rural,6,17000,5
Rural,5,6000,1
Rural,5,21400,5
Rural,9,12000,3
Rural,5,30000,5
Rural,4,11400,3
Rural,5,5000,1
Rural,5,15000,4
Rural,4,10000,3
Rural,2,6000,1
Rural,3,12000,3
Rural,5,10500,3
Rural,2,6000,1
Rural,4,12500,3
Rural,4,8000,2
Rural,2,5300,1
Rural,1,3200,1
Rural,5,10000,3
Rural,4,7500,2
Rural,5,8500,2
Rural,1,3950,1
Rural,4,10800,3
Rural,3,4500,1
Rural,4,9000,2
Rural,3,4500,1
Rural,1,2800,1
Rural,4,16000,4
Rural,5,14000,4
Rural,7,13500,4
Rural,2,8000,2
Rural,4,19500,5
Rural,2,10000,3
Rural,4,10000,3
Rural,4,15000,4
Rural,4,5730,1
Rural,4,12000,3
Rural,1,5000,1
Rural,2,5000,1
Rural,3,9000,2
Rural,8,11000,3
Rural,6,14000,4
Rural,8,25000,5
Rural,4,12000,3
Rural,2,12000,3
Rural,4,6500,1
Rural,5,9000,2
Rural,5,11500,3
Rural,4,10500,3
Rural,2,3000,1
Rural,4,20000,5
Rural,6,15000,4
Rural,3,10000,3
Rural,4,9500,2
Rural,7,15000,4
Rural,9,7580,2
Rural,5,11000,3
Rural,4,9500,2
Rural,3,6000,1
Rural,6,13000,4
Rural,3,5500,1
Rural,5,15000,4
Rural,3,6000,1
Rural,1,5000,1
Rural,2,5500,1
Rural,5,16000,4
Rural,3,12500,3
Rural,6,8000,2
Rural,4,14500,4
Rural,8,18000,5
Rural,4,5000,1
Rural,3,7000,2
Rural,2,14000,4
Rural,6,14000,4
Rural,4,7500,2
Rural,4,10000,3
Rural,2,4000,1
Rural,8,6500,1
Rural,6,15000,4
Rural,5,15000,4
Rural,5,10500,3
Rural,1,5800,1
Rural,4,12000,3
Rural,7,16000,4
Rural,3,11000,3
Rural,5,9000,2
Rural,1,9000,2
Rural,2,3400,1
Rural,10,19000,5
Rural,3,9500,2
Rural,2,12863,4
Rural,4,10000,3
Rural,5,28000,5
Rural,2,7000,2
Rural,8,14000,4
Rural,2,10000,3
Rural,3,5500,1
Rural,3,11000,3
Rural,3,8000,2
Rural,3,5900,1
Rural,5,12000,3
Rural,5,13000,4
Rural,4,17361,5
Rural,7,10000,3
Rural,8,9500,2
Rural,1,5600,1
Rural,5,8500,2
Rural,3,6500,1
Rural,8,6000,1
Rural,4,14000,4
Rural,5,14000,4
Rural,3,20000,5
Rural,1,4500,1
Rural,2,29000,5
Rural,11,19000,5
Rural,3,11000,3
Rural,4,15000,4
Rural,6,5800,1
Rural,2,5000,1
Rural,6,18000,5
Rural,6,8500,2
Rural,4,7000,2
Rural,5,14000,4
Rural,6,6900,1
Rural,2,4800,1
Rural,6,7000,2
Rural,3,10000,3
Rural,4,13000,4
Rural,5,10000,3
Rural,3,9000,2
Rural,2,15000,4
Rural,4,16000,4
Rural,1,8500,2
Rural,4,8000,2
Rural,3,19000,5
Rural,5,10000,3
Rural,6,10000,3
Rural,2,10000,3
Rural,9,30000,5
Rural,1,3800,1
Rural,4,12500,3
Rural,5,18000,5
Rural,4,8300,2
Rural,6,8000,2
Rural,2,6300,1
Rural,4,17500,5
Rural,4,5000,1
Rural,4,7800,2
Rural,7,18000,5
Rural,3,7500,2
Rural,5,10500,3
Rural,1,4800,1
Rural,6,16000,4
Rural,4,9500,2
Rural,5,8000,2
Rural,4,15000,4
Rural,6,23000,5
Rural,4,13000,4
Rural,2,8000,2
Rural,4,4865,1
Rural,2,15000,4
Rural,5,5400,1
Rural,2,4000,1
Rural,4,5800,1
Rural,5,8000,2
Rural,1,10000,3
